location_id,location_name,latitude,longitude,parameter,value,timestamp_utc
8118,New Delhi,28.63576,77.22445,pm25,388.0,2023-11-04T10:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,386.0,2023-11-04T11:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,386.0,2023-11-04T12:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,358.0,2023-11-04T13:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,305.0,2023-11-04T14:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,300.0,2023-11-04T15:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,347.0,2023-11-04T16:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,301.0,2023-11-04T17:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,316.0,2023-11-04T18:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,316.0,2023-11-04T19:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,342.0,2023-11-04T20:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,364.0,2023-11-04T21:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,368.0,2023-11-04T22:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,376.0,2023-11-04T23:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,381.0,2023-11-05T00:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,356.0,2023-11-05T01:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,377.0,2023-11-05T02:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,469.0,2023-11-05T03:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,472.0,2023-11-05T04:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,258.0,2023-11-05T06:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,189.0,2023-11-05T07:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,253.0,2023-11-05T08:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,217.0,2023-11-05T09:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,216.0,2023-11-05T10:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,225.0,2023-11-05T11:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,238.0,2023-11-05T12:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,264.0,2023-11-05T13:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,286.0,2023-11-05T14:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,306.0,2023-11-05T15:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,314.0,2023-11-05T16:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,317.0,2023-11-05T17:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,311.0,2023-11-05T18:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,311.0,2023-11-05T19:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,325.0,2023-11-05T20:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,338.0,2023-11-05T21:30:00Z
