latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.77382,76.0745,334.0,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.6,4.03,D,0
29.77769,75.60144,331.16,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,298.89,4.25,D,0
29.78098,75.94928,334.31,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,299.94,2.17,D,0
29.78145,75.51894,331.99,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.26,2.67,D,0
29.78167,75.9526,333.12,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.48,2.9,D,0
29.78198,75.33405,346.3,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.29,7.02,D,0
29.78243,75.26771,332.61,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.21,2.93,D,0
29.78289,75.33154,335.37,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.19,4.81,D,0
29.78375,75.33624,331.93,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,298.85,3.25,D,0
29.78664,75.52736,334.1,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.21,2.27,D,0
29.78856,75.57974,334.24,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,302.6,8.82,D,0
29.79018,75.31019,334.55,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,301.33,4.8,D,0
29.79472,76.02827,333.9,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.75,3.22,D,0
29.79514,76.0293,339.33,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.61,5.26,D,0
29.80108,75.50469,332.29,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,299.85,2.2,D,0
29.80346,75.32179,336.88,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,302.44,7.28,D,0
29.80569,75.37508,333.28,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.07,3.15,D,0
29.8082,75.16245,332.8,0.47,0.39,2023-11-01,750,N,VIIRS,n,2,302.12,3.52,D,0
29.80962,75.8026,337.45,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,302.62,6.21,D,0
29.8101,75.37893,336.45,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.3,5.07,D,0
29.81062,75.51692,334.77,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.44,3.01,D,0
